"filename", "language", "JavaScript", "CSS", "Markdown", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\tadas\Documents\GitHub\Bakalauras\Frontend\src\Pages\Login.js", "JavaScript", 93, 0, 0, 0, 0, 12, 19, 124
"c:\Users\tadas\Documents\GitHub\Bakalauras\Frontend\src\Pages\Profile.js", "JavaScript", 55, 0, 0, 0, 0, 1, 22, 78
"c:\Users\tadas\Documents\GitHub\Bakalauras\Frontend\src\Pages\ProfileOrders.js", "JavaScript", 273, 0, 0, 0, 0, 16, 75, 364
"c:\Users\tadas\Documents\GitHub\Bakalauras\Frontend\src\Pages\ProfileWow.js", "JavaScript", 17, 0, 0, 0, 0, 0, 3, 20
"c:\Users\tadas\Documents\GitHub\Bakalauras\Frontend\src\Pages\Register.js", "JavaScript", 110, 0, 0, 0, 0, 7, 16, 133
"c:\Users\tadas\Documents\GitHub\Bakalauras\Frontend\src\Pages\Request.js", "JavaScript", 245, 0, 0, 0, 0, 26, 72, 343
"c:\Users\tadas\Documents\GitHub\Bakalauras\Frontend\src\Pages\Shop.js", "JavaScript", 87, 0, 0, 0, 0, 15, 28, 130
"c:\Users\tadas\Documents\GitHub\Bakalauras\Frontend\src\Pages\VerifyEmail.js", "JavaScript", 63, 0, 0, 0, 0, 1, 9, 73
"c:\Users\tadas\Documents\GitHub\Bakalauras\Frontend\src\css\panelgrid.css", "CSS", 0, 3, 0, 0, 0, 0, 0, 3
"c:\Users\tadas\Documents\GitHub\Bakalauras\Frontend\src\firebase_config.js", "JavaScript", 28, 0, 0, 0, 0, 17, 12, 57
"c:\Users\tadas\Documents\GitHub\Bakalauras\Frontend\src\index.js", "JavaScript", 9, 0, 0, 0, 0, 0, 3, 12
"Total", "-", 4611, 532, 1, 32417, 85, 501, 1498, 39645
