"filename", "language", "Markdown", "JSON", "JavaScript", "HTML", "CSS", "comment", "blank", "total"
"c:\Users\tadas\Documents\GitHub\Bakalauras\Frontend\src\Pages\Login.js", "JavaScript", 0, 0, 93, 0, 0, 11, 20, 124
"c:\Users\tadas\Documents\GitHub\Bakalauras\Frontend\src\Pages\Profile.js", "JavaScript", 0, 0, 55, 0, 0, 1, 22, 78
"c:\Users\tadas\Documents\GitHub\Bakalauras\Frontend\src\Pages\ProfileOrders.js", "JavaScript", 0, 0, 274, 0, 0, 16, 75, 365
"c:\Users\tadas\Documents\GitHub\Bakalauras\Frontend\src\Pages\ProfileWow.js", "JavaScript", 0, 0, 17, 0, 0, 0, 3, 20
"c:\Users\tadas\Documents\GitHub\Bakalauras\Frontend\src\Pages\Register.js", "JavaScript", 0, 0, 110, 0, 0, 7, 16, 133
"c:\Users\tadas\Documents\GitHub\Bakalauras\Frontend\src\Pages\Request.js", "JavaScript", 0, 0, 244, 0, 0, 20, 69, 333
"c:\Users\tadas\Documents\GitHub\Bakalauras\Frontend\src\Pages\Shop.js", "JavaScript", 0, 0, 87, 0, 0, 15, 28, 130
"c:\Users\tadas\Documents\GitHub\Bakalauras\Frontend\src\Pages\VerifyEmail.js", "JavaScript", 0, 0, 63, 0, 0, 1, 9, 73
"c:\Users\tadas\Documents\GitHub\Bakalauras\Frontend\src\css\panelgrid.css", "CSS", 0, 0, 0, 0, 3, 0, 0, 3
"c:\Users\tadas\Documents\GitHub\Bakalauras\Frontend\src\firebase_config.js", "JavaScript", 0, 0, 17, 0, 0, 4, 8, 29
"c:\Users\tadas\Documents\GitHub\Bakalauras\Frontend\src\index.js", "JavaScript", 0, 0, 9, 0, 0, 0, 3, 12
"Total", "-", 1, 32417, 4600, 85, 532, 489, 1489, 39613
